Date_ID,Full_Date,Day,Month,Quarter,Year,Weekday_Name,Is_Weekend
310,2020-11-06,6,11,4,2020,Friday,False
311,2020-11-07,7,11,4,2020,Saturday,True
312,2020-11-08,8,11,4,2020,Sunday,True
313,2020-11-09,9,11,4,2020,Monday,False
314,2020-11-10,10,11,4,2020,Tuesday,False
315,2020-11-11,11,11,4,2020,Wednesday,False
316,2020-11-12,12,11,4,2020,Thursday,False
317,2020-11-13,13,11,4,2020,Friday,False
318,2020-11-14,14,11,4,2020,Saturday,True
319,2020-11-15,15,11,4,2020,Sunday,True
320,2020-11-16,16,11,4,2020,Monday,False
321,2020-11-17,17,11,4,2020,Tuesday,False
322,2020-11-18,18,11,4,2020,Wednesday,False
323,2020-11-19,19,11,4,2020,Thursday,False
324,2020-11-20,20,11,4,2020,Friday,False
325,2020-11-21,21,11,4,2020,Saturday,True
326,2020-11-22,22,11,4,2020,Sunday,True
327,2020-11-23,23,11,4,2020,Monday,False
328,2020-11-24,24,11,4,2020,Tuesday,False
329,2020-11-25,25,11,4,2020,Wednesday,False
330,2020-11-26,26,11,4,2020,Thursday,False
331,2020-11-27,27,11,4,2020,Friday,False
332,2020-11-28,28,11,4,2020,Saturday,True
333,2020-11-29,29,11,4,2020,Sunday,True
334,2020-11-30,30,11,4,2020,Monday,False
335,2020-12-01,1,12,4,2020,Tuesday,False
336,2020-12-02,2,12,4,2020,Wednesday,False
337,2020-12-03,3,12,4,2020,Thursday,False
338,2020-12-04,4,12,4,2020,Friday,False
339,2020-12-05,5,12,4,2020,Saturday,True
340,2020-12-06,6,12,4,2020,Sunday,True
341,2020-12-07,7,12,4,2020,Monday,False
342,2020-12-08,8,12,4,2020,Tuesday,False
343,2020-12-09,9,12,4,2020,Wednesday,False
344,2020-12-10,10,12,4,2020,Thursday,False
345,2020-12-11,11,12,4,2020,Friday,False
346,2020-12-12,12,12,4,2020,Saturday,True
347,2020-12-13,13,12,4,2020,Sunday,True
348,2020-12-14,14,12,4,2020,Monday,False
349,2020-12-15,15,12,4,2020,Tuesday,False
350,2020-12-16,16,12,4,2020,Wednesday,False
351,2020-12-17,17,12,4,2020,Thursday,False
352,2020-12-18,18,12,4,2020,Friday,False
353,2020-12-19,19,12,4,2020,Saturday,True
354,2020-12-20,20,12,4,2020,Sunday,True
355,2020-12-21,21,12,4,2020,Monday,False
356,2020-12-22,22,12,4,2020,Tuesday,False
357,2020-12-23,23,12,4,2020,Wednesday,False
358,2020-12-24,24,12,4,2020,Thursday,False
359,2020-12-25,25,12,4,2020,Friday,False
360,2020-12-26,26,12,4,2020,Saturday,True
361,2020-12-27,27,12,4,2020,Sunday,True
362,2020-12-28,28,12,4,2020,Monday,False
363,2020-12-29,29,12,4,2020,Tuesday,False
364,2020-12-30,30,12,4,2020,Wednesday,False
365,2020-12-31,31,12,4,2020,Thursday,False
366,2021-01-01,1,1,1,2021,Friday,False
367,2021-01-02,2,1,1,2021,Saturday,True
368,2021-01-03,3,1,1,2021,Sunday,True
369,2021-01-04,4,1,1,2021,Monday,False
370,2021-01-05,5,1,1,2021,Tuesday,False
371,2021-01-06,6,1,1,2021,Wednesday,False
372,2021-01-07,7,1,1,2021,Thursday,False
373,2021-01-08,8,1,1,2021,Friday,False
374,2021-01-09,9,1,1,2021,Saturday,True
375,2021-01-10,10,1,1,2021,Sunday,True
376,2021-01-11,11,1,1,2021,Monday,False
377,2021-01-12,12,1,1,2021,Tuesday,False
378,2021-01-13,13,1,1,2021,Wednesday,False
379,2021-01-14,14,1,1,2021,Thursday,False
380,2021-01-15,15,1,1,2021,Friday,False
381,2021-01-16,16,1,1,2021,Saturday,True
382,2021-01-17,17,1,1,2021,Sunday,True
383,2021-01-18,18,1,1,2021,Monday,False
384,2021-01-19,19,1,1,2021,Tuesday,False
385,2021-01-20,20,1,1,2021,Wednesday,False
386,2021-01-21,21,1,1,2021,Thursday,False
387,2021-01-22,22,1,1,2021,Friday,False
388,2021-01-23,23,1,1,2021,Saturday,True
389,2021-01-24,24,1,1,2021,Sunday,True
390,2021-01-25,25,1,1,2021,Monday,False
391,2021-01-26,26,1,1,2021,Tuesday,False
392,2021-01-27,27,1,1,2021,Wednesday,False
393,2021-01-28,28,1,1,2021,Thursday,False
394,2021-01-29,29,1,1,2021,Friday,False
